Date,daily_high_f,daily_high_c
37595,30,-1.111111111
41246,30,-1.111111111
45261,34,1.111111111
45262,34,1.111111111
45264,30,-1.111111111
45266,32,0
45267,37,2.777777778
45268,43,6.111111111
45269,48,8.888888889
45270,37,2.777777778
45271,32,0
45272,32,0
45273,30,-1.111111111
45274,45,7.222222222
45275,43,6.111111111
45276,41,5
45277,43,6.111111111
45278,36,2.222222222
45279,34,1.111111111
45280,34,1.111111111
45281,28,-2.222222222
45282,34,1.111111111
45283,36,2.222222222
45284,39,3.888888889
45285,43,6.111111111
45286,43,6.111111111
45287,41,5
45288,41,5
45289,39,3.888888889
45290,30,-1.111111111
45291,30,-1.111111111
45292,28,-2.222222222
45293,32,0
45294,34,1.111111111
45295,25,-3.888888889
45296,25,-3.888888889
45297,25,-3.888888889
45298,34,1.111111111
45299,28,-2.222222222
45300,30,-1.111111111
45301,25,-3.888888889
45302,25,-3.888888889
45303,23,-5
45304,19,-7.222222222
45305,21,-6.111111111
45306,14,-10
45307,10,-12.22222222
45308,16,-8.888888889
45309,14,-10
45310,9,-12.77777778
45311,25,-3.888888889
45312,28,-2.222222222
45313,28,-2.222222222
45314,28,-2.222222222
45315,30,-1.111111111
45316,36,2.222222222
45317,36,2.222222222
45318,39,3.888888889
45319,36,2.222222222
45320,36,2.222222222
45321,34,1.111111111
45322,36,2.222222222
45323,39,3.888888889
45324,36,2.222222222
45325,32,0
45326,32,0
45327,37,2.777777778
45328,34,1.111111111
45329,41,5
45330,46,7.777777778
45331,43,6.111111111
45332,34,1.111111111
45333,30,-1.111111111
45334,28,-2.222222222
45335,28,-2.222222222
45336,27,-2.777777778
45337,32,0
45338,23,-5
45339,25,-3.888888889
45340,27,-2.777777778
45341,27,-2.777777778
45342,30,-1.111111111
45343,43,6.111111111
45344,43,6.111111111
45345,39,3.888888889
45346,28,-2.222222222
45347,37,2.777777778
45348,37,2.777777778
45349,52,11.11111111
45350,37,2.777777778
45351,19,-7.222222222
45352,46,7.777777778
45353,50,10
45354,41,5
45355,55,12.77777778
45356,41,5
45357,45,7.222222222
45358,46,7.777777778
45359,45,7.222222222
45360,37,2.777777778
45361,25,-3.888888889
45362,52,11.11111111
45363,52,11.11111111
45364,52,11.11111111
45365,39,3.888888889
45366,43,6.111111111
45367,45,7.222222222
45368,32,0
45369,28,-2.222222222
45370,34,1.111111111
45371,27,-2.777777778
45372,21,-6.111111111
45373,30,-1.111111111
45374,25,-3.888888889
45375,34,1.111111111
45376,41,5
45377,52,11.11111111
45378,41,5
45379,32,0
45380,36,2.222222222
45381,36,2.222222222
45382,43,6.111111111
45383,43,6.111111111
45384,52,11.11111111
45385,41,5
45386,45,7.222222222
45387,45,7.222222222
45388,45,7.222222222
45389,57,13.88888889
45390,55,12.77777778
45391,55,12.77777778
45392,63,17.22222222
45393,57,13.88888889
45394,46,7.777777778
45395,48,8.888888889
45396,50,10
45397,52,11.11111111
45398,37,2.777777778
45399,42,5.555555556
45400,49,9.444444444
45401,45,7.222222222
45402,39,3.888888889
45403,45,7.222222222
45404,59,15
45405,59,15
45406,39,3.888888889
45407,52,11.11111111
45408,55,12.77777778
45409,68,20
45410,54,12.22222222
45411,43,6.111111111
45412,48,8.888888889
45413,52,11.11111111
45414,59,15
45415,64,17.77777778
45416,68,20
45417,55,12.77777778
45418,68,20
45419,68,20
45420,61,16.11111111
45421,61,16.11111111
45422,63,17.22222222
45423,57,13.88888889
45424,55,12.77777778
45425,55,12.77777778
45426,52,11.11111111
45427,59,15
45428,70,21.11111111
45429,68,20
45430,75,23.88888889
45431,70,21.11111111
45432,64,17.77777778
45433,79,26.11111111
45434,64,17.77777778
45435,57,13.88888889
45436,70,21.11111111
45437,61,16.11111111
45438,73,22.77777778
45439,64,17.77777778
45440,64,17.77777778
45441,57,13.88888889
45442,68,20
45443,73,22.77777778
45444,77,25
45445,73,22.77777778
45446,73,22.77777778
45447,75,23.88888889
45448,73,22.77777778
45449,68,20
45450,54,12.22222222
45451,64,17.77777778
45452,52,11.11111111
45453,55,12.77777778
45454,72,22.22222222
45455,79,26.11111111
45456,77,25
45457,63,17.22222222
45458,68,20
45459,66,18.88888889
45460,79,26.11111111
45461,88,31.11111111
45462,79,26.11111111
45463,72,22.22222222
45464,70,21.11111111
45465,64,17.77777778
45466,70,21.11111111
45467,77,25
45468,79,26.11111111
45469,64,17.77777778
45470,68,20
45471,63,17.22222222
45472,75,23.88888889
45473,57,13.88888889
45474,75,23.88888889
45475,70,21.11111111
45476,75,23.88888889
45477,75,23.88888889
45478,66,18.88888889
45479,72,22.22222222
45480,79,26.11111111
45481,79,26.11111111
45482,77,25
45483,77,25
45484,75,23.88888889
45485,81,27.22222222
45486,86,30
45487,81,27.22222222
45488,81,27.22222222
45489,73,22.77777778
45490,68,20
45491,70,21.11111111
45492,79,26.11111111
45493,77,25
45494,73,22.77777778
45495,79,26.11111111
45496,64,17.77777778
45497,70,21.11111111
45498,72,22.22222222
45499,79,26.11111111
45499,79,26.11111111
45500,79,26.11111111
45501,82,27.77777778
45502,86,30
45503,79,26.11111111
45504,82,27.77777778
45505,84,28.88888889
45506,84,28.88888889
45507,82,27.77777778
45508,81,27.22222222
45509,73,22.77777778
45510,75,23.88888889
45511,79,26.11111111
45512,75,23.88888889
45513,68,20
45514,63,17.22222222
45515,64,17.77777778
45516,75,23.88888889
45517,79,26.11111111
45518,84,28.88888889
45519,84,28.88888889
45520,68,20
45521,75,23.88888889
45522,73,22.77777778
45523,66,18.88888889
45524,66,18.88888889
45525,73,22.77777778
45526,75,23.88888889
45527,77,25
45528,81,27.22222222
45529,84,28.88888889
45530,90,32.22222222
45531,79,26.11111111
45532,66,18.88888889
45533,72,22.22222222
45534,72,22.22222222
45535,77,25
45536,68,20
45537,70,21.11111111
45538,77,25
45539,75,23.88888889
45540,75,23.88888889
45541,59,15
45542,55,12.77777778
45543,68,20
45544,68,20
45545,75,23.88888889
45546,75,23.88888889
45547,82,27.77777778
45548,81,27.22222222
45549,79,26.11111111
45550,81,27.22222222
45551,84,28.88888889
45552,82,27.77777778
45553,79,26.11111111
45554,81,27.22222222
45555,75,23.88888889
45556,77,25
45557,66,18.88888889
45558,61,16.11111111
45559,61,16.11111111
45560,66,18.88888889
45561,75,23.88888889
45562,79,26.11111111
45563,75,23.88888889
45564,75,23.88888889
45565,73,22.77777778
45566,63,17.22222222
45567,63,17.22222222
45568,66,18.88888889
45569,63,17.22222222
45570,66,18.88888889
45571,61,16.11111111
45572,55,12.77777778
45573,54,12.22222222
45574,54,12.22222222
45575,61,16.11111111
45576,72,22.22222222
45577,54,12.22222222
45578,57,13.88888889
45579,50,10
45580,48,8.888888889
45581,52,11.11111111
45582,63,17.22222222
45583,66,18.88888889
45584,68,20
45585,70,21.11111111
45586,72,22.22222222
45587,72,22.22222222
45588,61,16.11111111
45589,59,15
45590,52,11.11111111
45591,48,8.888888889
45592,50,10
45593,55,12.77777778
45594,61,16.11111111
45595,68,20
45596,52,11.11111111
45597,48,8.888888889
45598,46,7.777777778
45599,50,10
45600,61,16.11111111
45601,59,15
45602,52,11.11111111
45603,52,11.11111111
45604,52,11.11111111
45605,50,10
45606,48,8.888888889
45607,48,8.888888889
45608,45,7.222222222
45609,48,8.888888889
45610,46,7.777777778
45611,46,7.777777778
45612,50,10
45613,52,11.11111111
45614,50,10
45615,46,7.777777778
45616,48,8.888888889
45617,45,7.222222222
45618,45,7.222222222
45619,41,5
45620,36,2.222222222
45621,32,0
45622,37,2.777777778
45623,34,1.111111111
45624,32,0
45625,32,0
45626,32,0
45627,28,-2.222222222
45628,30,-1.111111111
45629,28,-2.222222222
45630,32,0
45631,28,-2.222222222
45632,28,-2.222222222
45633,37,2.777777778
45634,37,2.777777778
45635,34,1.111111111
45636,37,2.777777778
45637,28,-2.222222222
45638,21,-6.111111111
45639,25,-3.888888889
45640,32,0
45641,36,2.222222222
45642,39,3.888888889
45643,36,2.222222222
45644,32,0
45645,18,-7.777777778
45646,23,-5
45647,10,-12.22222222
45648,23,-5
45649,32,0
45650,28,-2.222222222
45651,34,1.111111111
45652,36,2.222222222
45653,37,2.777777778
45654,43,6.111111111
45655,39,3.888888889
45656,37,2.777777778
45657,36,2.222222222
45658,34,1.111111111
45659,28,-2.222222222
45660,25,-3.888888889
45661,21,-6.111111111
45662,21,-6.111111111
45663,23,-5
45664,16,-8.888888889
45665,9,-12.77777778
45666,23,-5
45667,27,-2.777777778
45668,30,-1.111111111
45669,28,-2.222222222
45670,30,-1.111111111
45671,19,-7.222222222
45672,27,-2.777777778
45673,32,0
45674,37,2.777777778
45675,37,2.777777778
45676,12,-11.11111111
45677,3,-16.11111111
45678,5,-15
45679,14,-10
45680,18,-7.777777778
45681,19,-7.222222222
45682,32,0
45683,27,-2.777777778
45684,30,-1.111111111
45685,28,-2.222222222
45686,25,-3.888888889
45687,34,1.111111111
45688,30,-1.111111111
45689,9,-12.77777778
45690,27,-2.777777778
45691,34,1.111111111
45692,23,-5
45693,21,-6.111111111
45694,25,-3.888888889
45695,23,-5
45696,23,-5
45697,21,-6.111111111
45698,23,-5
45699,16,-8.888888889
45700,18,-7.777777778
45701,23,-5
45702,21,-6.111111111
45703,27,-2.777777778
45704,23,-5
45705,9,-12.77777778
45706,16,-8.888888889
45707,10,-12.22222222
45708,18,-7.777777778
45709,27,-2.777777778
45710,27,-2.777777778
45711,34,1.111111111
45712,41,5
45713,36,2.222222222
45714,43,6.111111111
45715,34,1.111111111
45716,21,-6.111111111
45717,16,-8.888888889
45718,23,-5
45719,39,3.888888889
45720,36,2.222222222
45721,36,2.222222222
45722,28,-2.222222222
45723,27,-2.777777778
45724,32,0
45725,30,-1.111111111
45726,45,7.222222222
45727,45,7.222222222
45728,35,1.666666667
45729,43,6.111111111
